telegram ID;текст сообшения;дата и время
871475162;123;2022-09-22 17:31:50
871475162;321;2022-09-22 17:32:03
871475162;123;2022-09-22 18:04:12
871475162;123;2022-09-22 20:04:53
871475162;123;2022-09-22 20:06:17
376530980;Chubb;2022-09-22 20:01:29
376530980;Hhh;2022-09-22 20:01:41
376530980;Gujjj;2022-09-22 20:03:51
376530980;Любовь;2022-10-12 16:09:57
376530980;привет;2022-10-13 08:53:49
